Gene	Accession	RPKM_LowMyc	SpikeIn_renormalized_LowMyc
RAD54L	NM_003579	2.706067838	1.258543175
SOAT2	NM_003578	0.051509957	0.012915709
UTF1	NM_003577	0.00E+00	0.00E+00
STK24	NM_003576	37.98865677	17.44087879
ZNF282	NM_003575	8.389849583	3.892925585
VAPA	NM_003574	4.198532851	1.952013802
COQ6	NM_182480	2.957025808	1.374199917
LTBP4	NM_003573	6.083206556	2.828630251
BFSP2	NM_003571	7.617771433	3.54326189
STX7	NM_003569	17.59132916	8.180397155
ANXA9	NM_003568	0.00E+00	0.00E+00
BCAR3	NM_003567	5.775375562	2.686845431
EEA1	NM_003566	2.679419438	1.234108288
ULK1	NM_003565	13.06449689	6.061664764
TAGLN2	NM_003564	114.260461	49.27931154
SPOP	NM_003563	10.93427621	5.084819004
SLC25A11	NM_003562	17.80829107	8.207331168
COQ6	NM_182476	2.956502851	1.373964711
PLA2G10	NM_003561	0.009736495	2.51E-05
PLA2G6	NM_003560	8.505545879	3.95649212
PIP4K2B	NM_003559	10.18147255	4.734408631
PIP5K1B	NM_003558	6.682445623	3.107559902
PIP5K1A	NM_003557	7.398971357	3.441578903
OR1G1	NM_003555	0.00E+00	0.00E+00
OR1E2	NM_003554	0.00E+00	0.00E+00
OR1E1	NM_003553	0.00E+00	0.00E+00
NME5	NM_003551	0.007917851	1.91E-05
MAD1L1	NM_003550	15.83017894	7.279480678
EPHA5	NM_182472	0.00E+00	0.00E+00
HYAL3	NM_003549	2.335737601	1.085169333
HIST2H4A	NM_003548	3.995675614	1.846911157
HIST2H4A	NM_003548	11.15357303	5.188580141
HIST1H4G	NM_003547	0.00E+00	0.00E+00
HIST1H4L	NM_003546	0.053336734	0.020307771
HIST1H4E	NM_003545	1.725167457	0.779719075
HIST1H4B	NM_003544	0.081573828	0.022136573
HIST1H4H	NM_003543	2.128335333	0.969325046
HIST1H4C	NM_003542	4.405614207	2.047123984
HIST1H4K	NM_003541	1.754989476	0.798885002
PKM2	NM_182471	242.3832737	102.4030988
HIST1H4F	NM_003540	0.00E+00	0.00E+00
HIST1H4D	NM_003539	0.819961449	0.009084737
HIST1H4A	NM_003538	0.026094854	0.010550943
HIST1H3B	NM_003537	0.555289639	0.005296227
HIST1H3H	NM_003536	6.238931933	2.900899561
HIST1H3J	NM_003535	2.558824222	1.178125134
HIST1H3G	NM_003534	1.060110412	0.475304238
HIST1H3I	NM_003533	0.284909848	0.12617941
HIST1H3E	NM_003532	2.626430071	1.189139685
HIST1H3C	NM_003531	0.00E+00	6.60E-09
PKM2	NM_182470	223.1139372	94.51473377
HIST1H3D	NM_003530	3.235761847	1.495601482
HIST1H3A	NM_003529	0.641632946	0.288681293
HIST2H2BE	NM_003528	7.799015734	3.593291899
HIST1H2BO	NM_003527	0.041572957	0.00016959
HIST1H2BC	NM_003526	6.33854718	2.889520208
HIST1H2BI	NM_003525	0.377628957	0.169233859
HIST1H2BH	NM_003524	0.502494781	0.22461065
HIST1H2BE	NM_003523	0.312418385	0.139223851
HIST1H2BF	NM_003522	3.092786324	1.387358532
HIST1H2BM	NM_003521	0.217652142	0.096107625
RPS6KA5	NM_182398	1.741141333	0.795579185
HIST1H2BN	NM_003520	0.58373432	0.263312358
HIST1H2BL	NM_003519	0.514293274	0.231634719
HIST1H2BG	NM_003518	4.962959049	2.288749549
HIST2H2AC	NM_003517	0.599763638	0.270760632
HIST2H2AA3	NM_003516	11.54330771	5.368358988
HIST2H2AA3	NM_003516	4.03561309	1.869936284
HIST1H2AM	NM_003514	1.375364892	0.621586182
HIST1H2AB	NM_003513	0.203507034	0.087724722
HIST1H2AC	NM_003512	13.6008671	6.325172069
HIST1H2AL	NM_003511	0.41307598	0.184987759
ENOX2	NM_182314	1.70608677	0.780528155
HIST1H2AK	NM_003510	1.835943135	0.828315075
HIST1H2AI	NM_003509	2.587229622	1.1744958
FZD9	NM_003508	0.00E+00	4.73E-09
FZD7	NM_003507	0.010082873	0.001663118
FZD6	NM_003506	0.00E+00	0.00E+00
FZD1	NM_003505	0.00E+00	4.19E-09
CDC45	NM_003504	3.633879142	1.690450485
CDC7	NM_003503	2.65073128	1.228453698
AXIN1	NM_003502	19.08569037	8.75916726
ACOX3	NM_003501	6.015544728	2.798643284
SLC25A34	NM_207348	1.403920124	0.637231548
LILRA5	NM_181986	2.17368882	0.97956279
ACOX2	NM_003500	0.00E+00	0.00E+00
SNN	NM_003498	69.08592285	31.46819969
TRRAP	NM_003496	13.60484935	6.315215689
HIST1H4I	NM_003495	1.180615809	0.531876964
DYSF	NM_003494	0.021133423	6.97E-05
HIST3H3	NM_003493	0.00E+00	0.00E+00
TMEM187	NM_003492	0.564851048	0.25554655
NAA10	NM_003491	16.68819572	7.66658889
SYN3	NM_003490	0.073419128	0.021706164
NRIP1	NM_003489	0.00E+00	0.00E+00
LILRA5	NM_181985	1.745704473	0.785446308
AKAP1	NM_003488	6.776507296	3.151391932
TAF15	NM_003487	67.06851828	29.46861704
SLC7A5	NM_003486	7.230784563	3.315162214
GPR68	NM_003485	0.455352413	0.203655141
HMGA2	NM_003484	0.00E+00	0.00E+00
HMGA2	NM_003483	0.00E+00	0.00E+00
MLL2	NM_003482	21.81652314	10.04035585
USP5	NM_003481	24.84317186	11.36266758
MFAP5	NM_003480	0.185253541	0.077418824
CUL5	NM_003478	3.235761847	1.498055658
STARD5	NM_181900	1.423636861	0.646952091
PDHX	NM_003477	5.292224949	2.461897203
CSRP3	NM_003476	0.00E+00	0.00E+00
RASSF7	NM_003475	12.77041728	5.90119265
ADAM12	NM_003474	0.00E+00	0.00E+00
STAM	NM_003473	2.16912798	0.998884993
DEK	NM_003472	16.47635055	7.641654729
KCNAB1	NM_003471	0.00506247	0.000180427
USP7	NM_003470	12.90896786	6.00329234
SCG2	NM_003469	0.033967951	0.006612119
FZD5	NM_003468	0.322393091	0.144602927
PPP2R3A	NM_181897	0.004158186	8.17E-06
CXCR4	NM_003467	14.72329629	6.849632258
PAX8	NM_003466	0.406963882	0.18221182
CHIT1	NM_003465	1.683101091	0.753539355
PTP4A1	NM_003463	9.16862861	4.265963754
DNALI1	NM_003462	0.018322547	5.77E-05
ZYX	NM_003461	22.57459338	10.42713584
ZP2	NM_003460	0.00E+00	0.00E+00
SLC30A3	NM_003459	0.00E+00	3.24E-09
BSN	NM_003458	0.038928897	0.013751961
ZNF207	NM_003457	53.65248721	24.33639684
UBE2D3	NM_181893	39.05829456	17.90245336
ZNF205	NM_003456	0.023561373	0.007846962
ZNF202	NM_003455	1.972577876	0.91483097
ZNF200	NM_003454	2.129469488	0.980685669
ZMYM2	NM_003453	3.676944679	1.697085422
ZNF189	NM_003452	5.307139696	2.467911756
ZNF177	NM_003451	0.163075531	0.057054594
ZNF174	NM_003450	2.540151208	1.174942067
TRIM26	NM_003449	0.00E+00	0.00E+00
TRIM26	NM_003449	40.96388355	18.55920437
TRIM26	NM_003449	0.00E+00	0.00E+00
UBE2D3	NM_181892	45.45823555	20.59480258
ZNF165	NM_003447	0.347126324	0.154208838
ZNF157	NM_003446	0.246261521	0.10806238
ZNF155	NM_003445	0.217896421	0.09226777
ZBTB17	NM_003443	17.38207509	8.008415172
ZNF143	NM_003442	3.926394423	1.822303451
ZNF141	NM_003441	2.678075731	1.22400953
ZNF140	NM_003440	2.210664048	1.017521333
ZKSCAN1	NM_003439	11.33458987	5.271709988
ZNF136	NM_003437	3.303307571	1.520516205
ZNF135	NM_003436	0.00E+00	0.00E+00
UBE2D3	NM_181891	50.03160418	22.57313367
ZNF134	NM_003435	5.458189023	2.538657449
ZNF133	NM_003434	3.399886013	1.575799651
ZNF132	NM_003433	0.662952196	0.298943401
ZNF131	NM_003432	4.825353429	2.244970021
ZNF124	NM_003431	1.826639752	0.837426205
ZNF91	NM_003430	1.320449886	0.593810428
ZNF85	NM_003429	1.774047036	0.800018117
ZNF84	NM_003428	2.993344708	1.384604055
ZNF76	NM_003427	18.82913358	8.735969274
ZNF74	NM_003426	1.525993163	0.709280997
UBE2D3	NM_181890	48.48279629	21.92296374
ZNF45	NM_003425	3.26560746	1.508650681
ZNF43	NM_003423	1.310797401	0.59082075
MZF1	NM_003422	7.294448912	3.391856116
ZNF37A	NM_003421	2.693753226	1.24288995
ZNF35	NM_003420	1.898215897	0.87036855
ZNF345	NM_003419	0.605540845	0.270111269
CNBP	NM_003418	33.77146823	15.35155415
ZNF264	NM_003417	1.031144694	0.465275181
ZNF7	NM_003416	6.222840087	2.895294697
ZNF268	NM_003415	2.083327904	0.954343702
UBE2D3	NM_181889	47.47729195	21.48511136
ZNF267	NM_003414	8.667006931	4.032378708
ZIC3	NM_003413	0.00E+00	0.00E+00
ZIC1	NM_003412	0.00E+00	0.00E+00
ZFY	NM_003411	0.170433258	0.073761516
ZFX	NM_003410	4.871515206	2.263228942
ZFP161	NM_003409	2.588255165	1.194963172
ZFP37	NM_003408	0.00E+00	0.00E+00
ZFP36	NM_003407	177.1899479	76.99702091
YWHAZ	NM_003406	6.665042361	3.098847092
YWHAH	NM_003405	18.11521329	8.327451721
UBE2D3	NM_181888	47.32792519	21.42001945
YWHAB	NM_003404	85.43661812	37.95596496
YY1	NM_003403	20.07370775	9.237601443
XRCC4	NM_003401	4.004034799	1.843584501
XPO1	NM_003400	30.46640611	13.95066689
XPNPEP2	NM_003399	0.946554996	0.423212732
WNT9B	NM_003396	0.00E+00	0.00E+00
WNT9A	NM_003395	0.00E+00	0.00E+00
WNT10B	NM_003394	1.30714398	0.60793594
WNT8B	NM_003393	0.019453478	0.006145311
WNT5A	NM_003392	0.00E+00	0.00E+00
TSEN54	NM_207346	21.1449785	9.658916492
UBE2D3	NM_181887	47.15736368	21.31655644
WNT2	NM_003391	0.00E+00	0.00E+00
WEE1	NM_003390	4.489402753	2.088773957
CORO2A	NM_003389	3.947939096	1.818550435
CLIP2	NM_003388	67.77650147	30.40302841
WIPF1	NM_003387	110.8154924	48.85054294
ZAN	NM_003386	0.00E+00	2.62E-09
VSNL1	NM_003385	0.00E+00	0.00E+00
VRK1	NM_003384	6.994033681	3.253077879
VLDLR	NM_003383	0.990484856	0.441895705
VIPR2	NM_003382	0.00E+00	0.00E+00
UBE2D3	NM_181886	43.74112651	19.84431979
VIP	NM_003381	0.00E+00	0.00E+00
VIM	NM_003380	436.9869107	182.3969643
EZR	NM_003379	93.80523945	41.49968297
VGF	NM_003378	0.045627664	0.018030989
VEGFB	NM_003377	12.67594018	5.839007064
VEGFA	NM_003376	11.65680965	5.420292463
VDAC2	NM_003375	7.563547511	3.516950754
VDAC1	NM_003374	6.838449021	3.181178708
VCL	NM_003373	93.56264803	42.12903421
VBP1	NM_003372	5.127927251	2.385567712
RXFP4	NM_181885	0.160941034	0.069867843
VAV2	NM_003371	60.5116173	26.98531489
VASP	NM_003370	92.80843216	41.33632345
UVRAG	NM_003369	14.38053741	6.687052691
USP1	NM_003368	6.838719821	3.179939143
USF2	NM_003367	51.18335284	22.80407451
UQCRC2	NM_003366	26.94148663	12.31068665
UQCRC1	NM_003365	34.4647658	15.40451241
UPP1	NM_003364	0.00E+00	1.99E-09
USP4	NM_003363	20.06015269	9.324399863
UNG	NM_003362	3.606337924	1.677121123
PRX	NM_181882	0.679529974	0.307676619
UMOD	NM_003361	0.00E+00	0.00E+00
UGT8	NM_003360	0.00E+00	0.00E+00
UGDH	NM_003359	3.153728448	1.464232408
UGCG	NM_003358	15.28406454	7.107778181
SCGB1A1	NM_003357	0.00E+00	0.00E+00
UCP3	NM_003356	1.180886282	0.535790293
UCP2	NM_003355	216.3910821	94.17179015
UCN	NM_003353	4.151245687	1.930322937
SUMO1	NM_003352	6.674950765	3.104585258
UBE2V2	NM_003350	8.178579157	3.804658461
VCY1B	NM_181880	0.00E+00	0.00E+00
UBE2N	NM_003348	6.116502802	2.84584432
UBE2L3	NM_003347	11.58590817	5.387943396
UBE2I	NM_003345	29.03021442	13.27606192
UBE2H	NM_003344	28.59520676	13.28233569
UBE2G2	NM_003343	24.28399572	11.12273189
UBE2G1	NM_003342	11.74424684	5.460980727
UBE2E1	NM_003341	34.66737367	15.89984233
UBE2D3	NM_003340	46.03079348	20.85324729
UBE2D2	NM_003339	16.41472525	7.614806058
UBE2D1	NM_003338	4.606847375	2.141128361
VCY1B	NM_181880	0.00E+00	0.00E+00
UBE2B	NM_003337	5.988188686	2.784521415
UBE2A	NM_003336	25.12760049	11.57949999
UBA7	NM_003335	93.91132173	42.52521218
UBA1	NM_003334	150.7825462	65.15176732
UBA52	NM_003333	78.15252404	34.74677515
TYROBP	NM_003332	1.067637158	0.478555985
TYK2	NM_003331	87.05250534	38.23524662
TXNRD1	NM_003330	12.2117503	5.661474548
TXN	NM_003329	6.721288721	3.125711835
TXK	NM_003328	0.356444596	0.156715699
LILRA5	NM_181879	2.101299553	0.946401949
TNFRSF4	NM_003327	7.368392467	3.403407192
TNFSF4	NM_003326	3.448823749	1.590007095
HIRA	NM_003325	18.89449473	8.701154415
TULP3	NM_003324	3.962922751	1.841309613
TULP2	NM_003323	0.319899183	0.140839204
TULP1	NM_003322	0.00E+00	2.73E-09
TUFM	NM_003321	55.62823023	24.23926687
TUB	NM_003320	0.00E+00	0.00E+00
TTN	NM_003319	0.200001372	0.082953272
TTK	NM_003318	0.661127421	0.297717395
ZSCAN2	NM_181877	2.256484042	1.041617424
NKX2-1	NM_003317	0.00E+00	0.00E+00
TTC3	NM_003316	6.631389801	3.085175219
DNAJC7	NM_003315	17.72350401	8.19931788
TTC1	NM_003314	19.30418262	8.937785075
TSTA3	NM_003313	21.45181437	9.760780316
TST	NM_003312	5.91214997	2.749782288
PHLDA2	NM_003311	0.47481288	0.215330205
TSSC1	NM_003310	14.63707494	6.790023687
TSPYL1	NM_003309	8.559171526	3.980996507
TSPY1	NM_003308	0.00E+00	0.00E+00
PPP2R2C	NM_181876	0.004744519	0.00026066
TRPM2	NM_003307	9.652768791	4.487646446
TRPC4	NM_003306	0.00E+00	0.00E+00
TRPC3	NM_003305	0.00E+00	0.00E+00
TRPC1	NM_003304	0.011931275	0.001610912
TRIP6	NM_003302	28.98333942	13.06390909
TRHR	NM_003301	0.00E+00	0.00E+00
TRAF3	NM_003300	15.08143812	6.95506065
HSP90B1	NM_003299	63.43606346	28.48007296
NR2C2	NM_003298	6.510756821	3.028168045
NR2C1	NM_003297	2.705467627	1.250915117
GRM7	NM_181874	0.00E+00	0.00E+00
CRISP2	NM_003296	0.00E+00	0.00E+00
TPT1	NM_003295	53.72379501	24.27347473
TPSAB1	NM_003294	0.00E+00	0.00E+00
TPR	NM_003292	7.182951242	3.341771156
TPP2	NM_003291	18.96527421	8.805454191
TPM4	NM_003290	8.793442781	4.091404872
TPM2	NM_003289	0.292608456	0.129577615
TPD52L2	NM_003288	30.67732671	13.99980992
TPD52L1	NM_003287	0.00E+00	0.00E+00
TOP1	NM_003286	36.38476809	16.68628744
CLEC9A	NM_207345	0.00E+00	0.00E+00
MTMR11	NM_181873	0.016537113	0.003291031
TNR	NM_003285	1.707659287	0.764156898
TNP1	NM_003284	0.00E+00	0.00E+00
TNNT1	NM_003283	4.455347658	2.044922233
TNNI2	NM_003282	2.43014125	1.124002588
TNNI1	NM_003281	0.071109857	0.022250882
TNNC1	NM_003280	0.167366992	0.071529998
TNNC2	NM_003279	0.513160469	0.227996269
CLEC3B	NM_003278	0.615250492	0.278764151
CLDN5	NM_003277	0.00E+00	0.00E+00
TMPO	NM_003276	6.928865851	3.221558227
DMRT2	NM_181872	0.00E+00	0.00E+00
TMOD1	NM_003275	0.174486858	0.076797392
TRAPPC10	NM_003274	18.72507383	8.698891125
TM7SF2	NM_003273	9.30944597	4.329728286
GPR137B	NM_003272	7.373163504	3.429877697
TSPAN4	NM_003271	6.902347509	3.204857774
TSPAN6	NM_003270	0.00E+00	0.00E+00
NR2E1	NM_003269	0.00E+00	0.00E+00
TLR5	NM_003268	0.004549935	0.000349271
TLR4	NM_003266	16.08141734	7.477805082
TLR3	NM_003265	0.038305632	0.000152297
PKLR	NM_181871	0.00320902	0.0003296
TLR2	NM_003264	0.045654488	0.009841453
TLR1	NM_003263	16.05736886	7.471054647
SEC62	NM_003262	14.95791637	6.955819201
TLE2	NM_003260	3.559936139	1.653974113
ICAM5	NM_003259	1.539196508	0.716108509
TK1	NM_003258	12.27560811	5.651295366
TJP1	NM_003257	0.00E+00	0.00E+00
TIMP4	NM_003256	0.00E+00	0.00E+00
TIMP2	NM_003255	15.41214172	7.167149588
TIMP1	NM_003254	26.85399734	12.46545479
APAF1	NM_181869	4.962545446	2.305618482
TIAM1	NM_003253	0.008091652	0.000707404
TIAL1	NM_003252	14.83161463	6.896073063
THRSP	NM_003251	0.008226513	2.01E-05
THRA	NM_003250	3.157837855	1.469186496
THOP1	NM_003249	29.99360893	13.3274826
THBS4	NM_003248	0.084411179	0.023112594
THBS2	NM_003247	0.00E+00	0.00E+00
THBS1	NM_003246	0.006706242	0.000225426
TGM3	NM_003245	0.00E+00	0.00E+00
TGIF1	NM_003244	5.547020309	2.579381239
APAF1	NM_181868	4.441268703	2.061184223
TGFBR3	NM_003243	0.394775954	0.176150736
TGFBR2	NM_003242	28.18846378	13.04299364
TGM4	NM_003241	0.00E+00	0.00E+00
LEFTY2	NM_003240	0.00E+00	0.00E+00
TGFB3	NM_003239	1.439471811	0.65124691
TGFB2	NM_003238	0.00E+00	0.00E+00
TGFA	NM_003236	0.00E+00	0.00E+00
TG	NM_003235	0.02296767	0.001535832
TFRC	NM_003234	16.01404801	7.404469452
TFR2	NM_003227	0.006722497	1.54E-05
ACOT7	NM_181866	8.114576739	3.741634193
TFF3	NM_003226	0.036839793	0.000144684
TFF1	NM_003225	0.00E+00	0.00E+00
ARFRP1	NM_003224	8.940318405	4.130855858
TFAP4	NM_003223	3.016516301	1.402739271
TFAP2C	NM_003222	0.00E+00	0.00E+00
TFAP2B	NM_003221	0.00E+00	0.00E+00
TFAP2A	NM_003220	0.00E+00	2.58E-09
TERF1	NM_003218	0.478669597	0.214123961
TMBIM6	NM_003217	86.60824003	38.74014033
TEF	NM_003216	0.779497679	0.356756365
ACOT7	NM_181865	8.064514142	3.719215652
TEC	NM_003215	2.53944735	1.167012656
TEAD3	NM_003214	2.722973109	1.252577166
TEAD4	NM_003213	1.287094127	0.598839427
TDGF1	NM_003212	0.008975761	2.25E-05
TDG	NM_003211	1.948040347	0.899353943
TCF21	NM_003206	0.00E+00	0.00E+00
TCF12	NM_003205	12.87234661	5.985470715
NFE2L1	NM_003204	36.38539178	16.59450131
GCFC2	NM_003203	1.37643882	0.632404889
TCF7	NM_003202	4.70997376	2.185535062
ACOT7	NM_181864	7.072877588	3.271607114
TFAM	NM_003201	12.10402236	5.628960839
TCF3	NM_003200	112.7885821	48.62897749
TCF4	NM_003199	19.35390055	8.999587382
TCEB3	NM_003198	18.20287875	8.458187667
TCEA3	NM_003196	6.028799658	2.80377604
TCEA2	NM_003195	6.000150378	2.791473199
TBP	NM_003194	3.859461741	1.794676592
TBCE	NM_003193	4.065878761	1.889863257
TBCC	NM_003192	15.71627756	7.274144436
TAPBP	NM_003190	155.507718	67.41034463
APAF1	NM_181861	4.398044263	2.040835012
TAPBP	NM_003190	0.00E+00	0.00E+00
TAPBP	NM_003190	0.00E+00	0.00E+00
TAL1	NM_003189	0.005822043	1.27E-05
MAP3K7	NM_003188	5.683695689	2.644180619
TAF9	NM_003187	0.00E+00	0.00E+00
TAF9	NM_003187	16.98973078	7.852386789
TAGLN	NM_003186	15.45634172	7.187020483
TAF4	NM_003185	3.876202178	1.803487595
TAF2	NM_003184	3.103624162	1.439929349
ADAM17	NM_003183	20.51562261	9.539494478
AMIGO2	NM_181847	0.00E+00	0.00E+00
TAC1	NM_003182	0.00E+00	0.00E+00
T	NM_003181	0.319978038	0.12596344
SYT5	NM_003180	0.622330087	0.278362155
SYP	NM_003179	0.295248307	0.131018731
SYN2	NM_003178	0.00E+00	0.00E+00
SYK	NM_003177	230.9025111	99.83497144
SYCP1	NM_003176	0.00E+00	0.00E+00
XCL2	NM_003175	0.068724145	0.015425821
SVIL	NM_003174	6.742776511	3.137255446
SUV39H1	NM_003173	4.713137905	2.192430833
SPRYD4	NM_207344	2.453337723	1.137679795
ZSCAN22	NM_181846	0.861383081	0.390444387
SURF1	NM_003172	13.80737336	6.420680822
SUPV3L1	NM_003171	3.806009287	1.770643653
SUPT6H	NM_003170	37.97188826	17.33990855
SUPT5H	NM_003169	64.86862713	28.91435722
SUPT4H1	NM_003168	11.12849995	5.174611401
SULT2A1	NM_003167	0.00E+00	0.00E+00
STXBP1	NM_003165	0.604411275	0.273595425
STX5	NM_003164	21.1136107	9.81082627
STRN	NM_003162	2.014382145	0.917375101
RPS6KB1	NM_003161	3.150578196	1.457139117
ZNF283	NM_181845	0.23464004	0.101575387
AURKC	NM_003160	0.174278017	0.074514515
CDKL5	NM_003159	0.048097888	0.008286692
NEK4	NM_003157	3.141971649	1.457721085
STIM1	NM_003156	49.35378211	22.64783649
STC1	NM_003155	0.00E+00	0.00E+00
STATH	NM_003154	0.00E+00	0.00E+00
STAT6	NM_003153	165.4008362	72.09774205
STAT5A	NM_003152	11.21304355	5.213918935
STAT4	NM_003151	0.00E+00	2.47E-09
STAT3	NM_003150	26.65775989	12.32764128
BCL6B	NM_181844	0.00E+00	2.30E-09
STAC	NM_003149	0.00E+00	0.00E+00
SSX2	NM_003147	0.00E+00	0.00E+00
SSX2	NM_003147	0.00E+00	0.00E+00
SSRP1	NM_003146	24.91387403	11.3032249
SSR2	NM_003145	80.36146971	36.16358397
SSR1	NM_003144	4.2716783	1.979973293
SSBP1	NM_003143	16.76342167	7.702417716
SSB	NM_003142	4.762601406	2.215644163
TRIM21	NM_003141	20.93935466	9.71661121
SRY	NM_003140	0.00E+00	0.00E+00
NUDT8	NM_181843	2.165105354	1.007023547
SRPR	NM_003139	34.37735339	15.74418743
SRPK1	NM_003137	7.675476348	3.568995488
SRP54	NM_003136	14.66944904	6.821987888
SRP19	NM_003135	5.427941273	2.525271013
SRP14	NM_003134	35.76005366	16.3179167
SRP9	NM_003133	22.28263272	10.2957738
SRM	NM_003132	18.58338952	8.190867127
SRF	NM_003131	19.65961372	9.059155491
SRI	NM_003130	3.765425245	1.751704923
SQLE	NM_003129	24.87065663	11.42378021
ZBTB12	NM_181842	1.046200747	0.484461146
SPTBN1	NM_003128	24.78249769	11.46706258
SPTAN1	NM_003127	72.36552588	32.69960513
SPTA1	NM_003126	0.010897539	0.000536518
SPRR1B	NM_003125	0.00E+00	0.00E+00
SPR	NM_003124	0.079840594	0.035588793
SPN	NM_003123	35.11503801	16.04266872
SPINK1	NM_003122	0.00E+00	0.00E+00
SPIB	NM_003121	205.9566999	88.77202596
SPI1	NM_003120	171.3318625	74.14225685
SPG7	NM_003119	18.98621585	8.744760109
ZBTB12	NM_181842	0.00E+00	0.00E+00
SPARC	NM_003118	0.330069352	0.146849959
SPAM1	NM_003117	0.00E+00	0.00E+00
SPAG4	NM_003116	4.900440979	2.276254043
UAP1	NM_003115	2.135853114	0.992318423
SPAG1	NM_003114	2.801266337	1.276285525
SP100	NM_003113	16.43463555	7.644032188
SP4	NM_003112	1.241863081	0.561302415
SP3	NM_003111	8.147158819	3.790387378
SP2	NM_003110	19.03713485	8.832440511
SP1	NM_003109	14.82297645	6.892667054
ZBTB12	NM_181842	0.00E+00	0.00E+00
SOX11	NM_003108	0.064574213	0.025809098
SOX4	NM_003107	4.965083523	2.31014595
SOX2	NM_003106	0.00E+00	0.00E+00
SORL1	NM_003105	19.37122314	8.99221961
SORD	NM_003104	2.777946982	1.292495083
SOD3	NM_003102	0.00E+00	0.00E+00
SOAT1	NM_003101	2.356001114	1.088924008
SNX2	NM_003100	31.58153633	14.60469533
SNX1	NM_003099	14.11554894	6.563549917
SNTA1	NM_003098	5.670880058	2.638411817
KCNK18	NM_181840	0.00E+00	0.00E+00
SNRPN	NM_003097	0.00E+00	2.20E-09
SNRPG	NM_003096	1.005936325	0.453974557
SNRPF	NM_003095	6.92852915	3.219625924
SNRPE	NM_003094	2.779785064	1.292024319
SNRPC	NM_003093	43.20818881	19.52311209
SNRPB2	NM_003092	10.11151516	4.70191429
SNRPB	NM_003091	70.19049398	30.3895572
SNRPA1	NM_003090	11.96223572	5.562773777
SNRNP70	NM_003089	59.92974204	25.86872223
FSCN1	NM_003088	111.9636092	48.03192282
PKIA	NM_181839	1.127589897	0.510476628
SNCG	NM_003087	0.470086467	0.211787409
SNAPC4	NM_003086	13.4586817	6.161700518
SNCB	NM_003085	0.015015136	0.002414731
SNAPC2	NM_003083	8.254324092	3.838651628
SNAPC1	NM_003082	0.687112079	0.311420337
SNAP25	NM_003081	0.00E+00	0.00E+00
SMPD2	NM_003080	7.240017133	3.368562112
SMARCE1	NM_003079	19.05310824	8.841971052
SMARCD3	NM_003078	0.334733984	0.142617985
SMARCD1	NM_003076	30.05889702	13.81809983
UBE2D2	NM_181838	15.71929944	7.298456374
SMARCC2	NM_003075	31.32805788	14.38358364
SMARCC1	NM_003074	23.94531214	10.96590662
SMARCB1	NM_003073	96.34324147	42.68088649
SMARCA4	NM_003072	38.87687732	17.25872861
HLTF	NM_003071	3.461315794	1.607531902
SMARCA2	NM_003070	26.99185286	12.42004369
SMARCA1	NM_003069	0.007127229	1.66E-05
SNAI2	NM_003068	0.013821479	3.98E-05
SLPI	NM_003064	0.00E+00	0.00E+00
SLN	NM_003063	0.00E+00	0.00E+00
RNF214	NM_207343	5.884186076	2.73686682
ORC3	NM_181837	2.887275832	1.333334287
SLIT3	NM_003062	0.00E+00	0.00E+00
SLIT1	NM_003061	0.111381034	0.046073504
SLC22A5	NM_003060	2.355792467	1.085929594
SLC22A4	NM_003059	0.008857012	0.002710968
SLC22A2	NM_003058	0.00E+00	0.00E+00
SLC22A1	NM_003057	0.086581246	0.000444178
SLC18A3	NM_003055	0.00E+00	0.00E+00
SLC18A2	NM_003054	0.00E+00	0.00E+00
SLC18A1	NM_003053	0.038786829	0.009643206
SLC34A1	NM_003052	0.033784056	0.00690498
TMED7	NM_181836	8.008570301	3.725932097
SLC16A1	NM_003051	1.477573522	0.687239184
SLC10A1	NM_003049	0.00E+00	0.00E+00
SLC9A2	NM_003048	0.00E+00	0.00E+00
SLC9A1	NM_003047	9.656108371	4.490375207
SLC7A2	NM_003046	0.102654705	0.045717193
SLC7A1	NM_003045	3.081531063	1.433248865
SLC6A12	NM_003044	0.00E+00	0.00E+00
SLC6A6	NM_003043	9.470122296	4.404822584
SLC6A1	NM_003042	0.00E+00	0.00E+00
SLC5A2	NM_003041	0.008541386	0.001105082
NF2	NM_181833	5.458939854	2.539509713
SLC4A2	NM_003040	22.63470878	10.39001038
SLC2A5	NM_003039	12.2396209	5.691481307
SLC1A4	NM_003038	6.54888379	3.046026576
SLAMF1	NM_003037	17.41586961	8.098343312
SKI	NM_003036	15.72862614	7.259764522
STIL	NM_003035	1.579175638	0.72405328
ST8SIA1	NM_003034	0.00799447	0.000937824
ST3GAL1	NM_003033	13.7428204	6.39240162
ST6GAL1	NM_003032	45.57503669	20.86221909
SIAH1	NM_003031	1.914317418	0.877933195
NF2	NM_181832	5.830110564	2.712132718
SHOX2	NM_003030	0.066261335	0.026741387
SHC1	NM_003029	18.31181854	8.469611138
SHB	NM_003028	2.984252705	1.386368643
SH3GL3	NM_003027	0.00E+00	0.00E+00
SH3GL2	NM_003026	0.00E+00	0.00E+00
SH3GL1	NM_003025	28.03265332	12.80473735
ITSN1	NM_003024	0.499007845	0.223601213
SH3BP2	NM_003023	18.66509991	8.671000435
SH3BGRL	NM_003022	71.1851914	32.44051339
SGTA	NM_003021	45.62214544	20.29694959
NF2	NM_181831	4.448249513	2.069546588
